Source,Target,Cosine_similarity
1,23,0.8172818
1,24,0.8693319
1,25,0.8226471
1,26,0.8352938
1,27,0.91032404
1,28,0.8801133
1,29,0.73329717
1,30,0.9486642
1,31,0.6301526
1,32,0.84804356
1,33,0.7913987
1,34,0.7711897
1,35,0.61681825
1,36,0.64113075
1,37,0.83893454
1,38,0.828424
1,39,0.8459682
1,40,0.8990895
1,41,0.7996158
1,42,0.78449583
1,43,0.78165805
1,44,0.82065904
1,45,0.864727
1,46,0.85628647
1,47,0.8785342
1,48,0.73151076
1,49,0.8022291
1,50,0.93959224
1,51,0.8056713
1,52,0.87557924
1,53,0.7188981
1,54,0.7999023
1,55,0.89114076
1,56,0.86454237
1,57,0.86101806
1,58,0.90343165
1,59,0.8285478
1,60,0.7925181
1,61,0.86683565
1,62,0.7892951
1,63,0.8549961
1,64,0.7712346
1,65,0.80040854
1,66,0.7649495
1,67,0.93857324
1,68,0.65026623
1,69,0.8314389
1,70,0.8960969
1,71,0.8456043
1,72,0.8533721
1,73,0.82382977
1,74,0.7626438
1,75,0.83233964
1,76,0.8571478
1,77,0.9174378
1,78,0.8132761
1,79,0.85075307
1,80,0.8302906
1,81,0.86741
1,82,0.7867702
1,83,0.9127767
1,84,0.9565369
1,85,0.9357664
1,86,0.9505137
1,87,0.8824645
1,88,0.8168246
1,89,0.81534016
1,90,0.887979
1,91,0.9376099
1,92,0.8784494
1,93,0.7304305
1,94,0.643704
1,95,0.8429474
1,96,0.85391957
1,97,0.8604929
1,98,0.79452497
1,99,0.8479123
2,0,0.791145
2,1,0.68867654
2,3,0.53506684
2,4,0.8225102
2,5,0.94280714
2,6,0.91554683
2,7,0.77663964
2,8,0.78555226
2,9,0.73603946
2,10,0.69761676
2,11,0.86444163
2,12,0.90154624
2,13,0.68920314
2,14,0.4429427
2,15,0.9092486
2,16,0.8894623
2,17,0.93164724
2,18,0.961188
2,19,0.7258766
2,20,0.9299977
2,21,0.8774296
2,22,0.607084
2,23,0.5815248
2,24,0.8527825
2,25,0.9468832
2,26,0.66211784
2,27,0.8111653
2,28,0.83147764
2,29,0.43223834
2,30,0.7786457
2,31,0.27512816
2,32,0.73323053
2,33,0.92046034
2,34,0.53829634
2,35,0.20287295
2,36,0.26881322
2,37,0.8402125
2,38,0.7886427
2,39,0.7970444
2,40,0.63092107
2,41,0.7816363
2,42,0.93805724
2,43,0.50897634
2,44,0.777043
2,45,0.6166339
2,46,0.8081671
2,47,0.6054132
2,48,0.8833996
2,49,0.7704262
2,50,0.7179339
2,51,0.51505303
2,52,0.79922235
2,53,0.8077802
2,54,0.96854043
2,55,0.8615002
2,56,0.6227728
2,57,0.87381804
2,58,0.86105466
2,59,0.88289696
2,60,0.9286036
2,61,0.8824466
2,62,0.9701103
2,63,0.64584404
2,64,0.8665178
2,65,0.748211
2,66,0.95475996
2,67,0.77990717
2,68,0.5638027
2,69,0.85024714
2,70,0.6174904
2,71,0.9293328
